jahr,bezirk,ortsteil,leitung16,leitung50
2017,"Lichtenberg","Fennpfuhl",95.97,82.09
2017,"Lichtenberg","Friedrichsfelde",95.97,82.09
2017,"Lichtenberg","Karlshorst",95.97,82.09
2017,"Lichtenberg","Lichtenberg",95.97,82.09
2017,"Lichtenberg","Malchow",95.97,82.09
2017,"Lichtenberg","Neu-Hohenschönhausen",95.97,82.09
2017,"Lichtenberg","Rummelsburg",95.97,82.09
2017,"Lichtenberg","Wartenberg",95.97,82.09
2017,"Reinickendorf","Frohnau",98.80,90.23
2017,"Reinickendorf","Heiligensee",98.80,90.23
2017,"Reinickendorf","Hermsdorf",98.80,90.23
2017,"Reinickendorf","Konradshöhe",98.80,90.23
2017,"Reinickendorf","Lübars",98.80,90.23
2017,"Reinickendorf","Märkisches Viertel",98.80,90.23
2017,"Reinickendorf","Reinickendorf",98.80,90.23
2017,"Reinickendorf","Tegel",98.80,90.23
2017,"Reinickendorf","Waldmannslust",98.80,90.23
2017,"Reinickendorf","Wittenau",98.80,90.23
