id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
852,45,45,38.333333333333336,29,33.75,27,34.6,29,30.166666666666668,27,28.142857142857142,25,26.375,22.5,25.333333333333332,20,24.4,18.5,23.545454545454547,17,24.333333333333332,18.5,23.384615384615383,17
853,11,11,10.333333333333334,9,8.25,8,7.6,7,6.5,6,6,5,5.25,4,4.777777777777778,3,4.4,2.5,4.181818181818182,2,3.9166666666666665,2,3.6153846153846154,2
864,1.5,1.5,2,2,2.25,2.5,2,2,1.6666666666666667,1.5,1.4285714285714286,1,1.25,1,1.1111111111111112,1,1,0.5,0.9090909090909091,0,0.8333333333333334,0,0.7692307692307693,0
872,3,3,3,3,3.5,3.5,3,3,3,3,2.5714285714285716,3,2.25,2.5,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
877,2,2,3,4,2.5,2.5,3,4,2.6666666666666665,2.5,2.7142857142857144,3,2.375,2,2.111111111111111,1,1.9,1,NaN,NaN,NaN,NaN,NaN,NaN
879,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0.875,0,1,0,0.9,0,0.8181818181818182,0,0.8333333333333334,0,0.8461538461538461,0
881,0.5,0.5,0.6666666666666666,1,1,1,1.2,1,1.3333333333333333,1.5,1.5714285714285714,2,2.25,2,2.7777777777777777,2,2.7,2,2.8181818181818183,2,3.1666666666666665,2,3.1538461538461537,2
895,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3333333333333335,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
926,2.5,2.5,3.6666666666666665,4,2.75,2.5,2.2,1,1.8333333333333333,0.5,1.5714285714285714,0,1.875,0.5,2,1,1.9,1,1.8181818181818181,1,1.8333333333333333,1,1.6923076923076923,1
932,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
933,2.5,2.5,2,1,2.75,3,3,4,2.6666666666666665,2.5,2.5714285714285716,2,2.25,1.5,2.2222222222222223,2,2.4,2,2.3636363636363638,2,2.25,2,2.1538461538461537,2
937,1,1,0.6666666666666666,0,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
962,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,NaN,NaN,NaN,NaN
971,0,0,0,0,0.5,0,0.4,0,0.6666666666666666,0,0.5714285714285714,0,0.5,0,0.4444444444444444,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,9,9,6.666666666666667,3,5.75,3,5.6,3,5.166666666666667,3,4.571428571428571,3,4,3,3.7777777777777777,3,3.7,3,3.5454545454545454,3,3.5,3,3.3076923076923075,3
990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1002,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1006,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
