date,value,type
14,0.267,2098
15,0.233,2098
16,0.200,2098
17,0.133,2098
18,0.333,2098
19,0.000,2098
20,0.033,2098
21,0.000,2098
22,0.000,2098
23,0.000,2098
0,0.000,2102
1,0.000,2102
2,0.000,2102
3,0.000,2102
4,0.000,2102
5,0.000,2102
6,0.110,2102
7,1.000,2102
8,0.429,2102
9,0.011,2102
10,0.005,2102
11,0.011,2102
12,0.004,2102
13,0.000,2102
14,0.003,2102
15,0.003,2102
16,0.002,2102
17,0.010,2102
18,0.010,2102
19,0.002,2102
20,0.001,2102
21,0.000,2102
22,0.000,2102
23,0.000,2102
0,0.000,2103
1,0.000,2103
2,0.105,2103
3,0.605,2103
4,0.289,2103
5,0.447,2103
6,0.816,2103
7,0.763,2103
8,0.316,2103
9,0.737,2103
10,1.000,2103
11,0.395,2103
12,0.000,2103
13,0.000,2103
14,0.000,2103
15,0.000,2103
16,0.000,2103
17,0.000,2103
18,0.000,2103
19,0.000,2103
20,0.026,2103
21,0.000,2103
22,0.000,2103
23,0.000,2103
0,0.652,2106
1,1.000,2106
2,0.799,2106
3,0.619,2106
4,0.581,2106
5,0.541,2106
6,0.553,2106
7,0.546,2106
8,0.546,2106
9,0.576,2106
10,0.320,2106
11,0.036,2106
12,0.033,2106
13,0.424,2106
14,0.437,2106
15,0.254,2106
16,0.251,2106
17,0.312,2106
18,0.000,2106
19,0.000,2106
20,0.000,2106
21,0.000,2106
22,0.000,2106
23,0.000,2106
0,0.388,2107
1,0.104,2107
2,0.925,2107
3,0.104,2107
4,0.075,2107
5,0.060,2107
6,0.090,2107
7,0.179,2107
8,0.090,2107
9,0.119,2107
10,0.164,2107
11,1.000,2107
12,0.343,2107
13,0.507,2107
14,0.552,2107
15,0.552,2107
16,0.403,2107
17,0.448,2107
18,0.000,2107
19,0.000,2107
20,0.000,2107
21,0.000,2107
22,0.000,2107
23,0.000,2107
0,0.654,2108
1,0.808,2108
2,0.654,2108
3,0.462,2108
4,0.615,2108
5,0.423,2108
6,0.538,2108
7,1.000,2108
8,0.423,2108
9,0.654,2108
10,0.269,2108
11,0.269,2108
12,0.615,2108
13,0.500,2108
14,0.538,2108
15,0.577,2108
16,0.462,2108
17,0.654,2108
18,0.000,2108
19,0.000,2108
20,0.000,2108
21,0.000,2108
22,0.000,2108
23,0.000,2108
0,1.000,2109
1,0.333,2109
2,0.524,2109
3,0.286,2109
4,0.714,2109
5,0.286,2109
6,0.381,2109
7,0.429,2109
8,0.095,2109
9,0.905,2109
10,0.381,2109
11,0.095,2109
12,0.143,2109
13,0.714,2109
14,0.286,2109
15,0.238,2109
16,0.238,2109
17,0.286,2109
18,0.000,2109
19,0.000,2109
20,0.000,2109
21,0.000,2109
22,0.000,2109
23,0.000,2109
0,0.000,2110
1,0.000,2110
2,0.000,2110
3,0.000,2110
4,1.000,2110
5,0.565,2110
6,0.609,2110
7,0.217,2110
8,0.391,2110
9,0.609,2110
10,0.391,2110
11,0.130,2110
12,0.304,2110
13,0.261,2110
14,0.261,2110
15,0.174,2110
16,0.261,2110
17,0.174,2110
18,0.000,2110
19,0.000,2110
20,0.000,2110
21,0.000,2110
22,0.000,2110
23,0.000,2110
0,0.000,2118
1,0.000,2118
2,0.000,2118
3,0.000,2118
4,0.000,2118
5,0.000,2118
6,0.219,2118
7,1.000,2118
8,0.368,2118
9,0.018,2118
10,0.035,2118
11,0.035,2118
12,0.000,2118
13,0.000,2118
14,0.000,2118
15,0.035,2118
16,0.009,2118
17,0.018,2118
18,0.000,2118
19,0.000,2118
20,0.000,2118
21,0.000,2118
22,0.000,2118
23,0.000,2118
0,1.000,2120
1,0.591,2120
2,0.199,2120
3,0.160,2120
4,0.348,2120
5,0.370,2120
6,0.729,2120
7,0.309,2120
8,0.110,2120
9,0.094,2120
10,0.039,2120
11,0.304,2120
12,0.370,2120
13,0.260,2120
14,0.254,2120
15,0.149,2120
16,0.055,2120
17,0.011,2120
18,0.000,2120
19,0.000,2120
20,0.000,2120
21,0.000,2120
22,0.000,2120
23,0.000,2120
0,0.000,2144
1,0.000,2144
2,0.174,2144
3,0.478,2144
4,0.739,2144
5,0.435,2144
6,0.652,2144
7,0.913,2144
